  File "C:\C_C++_C#\Vacancies\Voice-assistant\test_whisper.py", line 272, in download_telegram_file
    telegram_file = await bot.get_file(file_id)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\bot.py", line 1754, in get_file
    return await self(call, request_timeout=request_timeout)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\bot.py", line 504, in __call__
    return await self.session(self, method, timeout=request_timeout)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\session\base.py", line 259, in __call__
    return cast(TelegramType, await middleware(bot, method))
                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\session\aiohttp.py", line 177, in make_request
    response = self.check_response(
               ^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\session\base.py", line 121, in check_response
    raise TelegramBadRequest(method=method, message=description)
aiogram.exceptions.TelegramBadRequest: Telegram server says - Bad Request: file is too big
2026-06-28 02:18:37,465 | INFO | aiogram.event | Update id=104927138 is handled. Duration 407 ms by bot id=8587251551
2026-06-28 02:18:37,702 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:37,702 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 02:18:41,783 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:41,783 | WARNING | aiogram.dispatcher | Sleep for 4.996931 seconds and try again... (tryings = 9, bot id = 8587251551)
2026-06-28 02:18:46,862 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:46,862 | WARNING | aiogram.dispatcher | Sleep for 1.262909 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 02:18:51,202 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:51,202 | WARNING | aiogram.dispatcher | Sleep for 5.144748 seconds and try again... (tryings = 10, bot id = 8587251551)
2026-06-28 02:18:56,421 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramConflictError: Telegram server says - Conflict: terminated by other getUpdates request; make sure that only one bot instance is running
2026-06-28 02:18:56,421 | WARNING | aiogram.dispatcher | Sleep for 1.708183 seconds and try again... (tryings = 2, bot id = 8587251551)
2026-06-28 02:19:02,874 | INFO | aiogram.dispatcher | Polling stopped
2026-06-28 02:19:02,875 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 02:19:02,875 | WARNING | aiogram.dispatcher | Sleep for 4.952839 seconds and try again... (tryings = 11, bot id = 8587251551)
2026-06-28 02:19:03,134 | INFO | aiogram.dispatcher | Polling stopped for bot @ru_voice_whisper_bot id=8587251551 - 'Whisper Voice Bot'
2026-06-28 02:19:14,000 | INFO | root | Checking Telegram connection...
2026-06-28 02:19:14,283 | INFO | root | Bot connected as @ru_voice_whisper_bot
2026-06-28 02:19:14,357 | INFO | root | Polling started. Press Ctrl+C to stop.
2026-06-28 02:19:14,358 | INFO | aiogram.dispatcher | Start polling
2026-06-28 02:19:14,434 | INFO | aiogram.dispatcher | Run polling for bot @ru_voice_whisper_bot id=8587251551 - 'Whisper Voice Bot'
2026-06-28 02:19:21,544 | INFO | root | Received audio-like message chat_id=1031126452 voice=True audio=False document=False
2026-06-28 02:19:21,546 | INFO | root | Processing file chat_id=1031126452 original_name=voice_AgAD0aAAAodVAUo.ogg size=24725404
2026-06-28 02:19:22,065 | ERROR | root | Failed to process audio message: Telegram server says - Bad Request: file is too big
Traceback (most recent call last):
  File "C:\C_C++_C#\Vacancies\Voice-assistant\test_whisper.py", line 512, in audio_handler
    await download_telegram_file(bot=bot, file_id=file_id, destination=local_path)
  File "C:\C_C++_C#\Vacancies\Voice-assistant\test_whisper.py", line 272, in download_telegram_file
    telegram_file = await bot.get_file(file_id)
                    ^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\bot.py", line 1754, in get_file
    return await self(call, request_timeout=request_timeout)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\bot.py", line 504, in __call__
    return await self.session(self, method, timeout=request_timeout)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\session\base.py", line 259, in __call__
    return cast(TelegramType, await middleware(bot, method))
                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\session\aiohttp.py", line 177, in make_request
    response = self.check_response(
               ^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Алла\AppData\Local\Programs\Python\Python312\Lib\site-packages\aiogram\client\session\base.py", line 121, in check_response
    raise TelegramBadRequest(method=method, message=description)
aiogram.exceptions.TelegramBadRequest: Telegram server says - Bad Request: file is too big
2026-06-28 02:19:22,169 | INFO | aiogram.event | Update id=104927139 is handled. Duration 625 ms by bot id=8587251551
2026-06-28 02:28:38,325 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 02:28:38,333 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
2026-06-28 02:28:41,990 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 02:28:41,994 | WARNING | aiogram.dispatcher | Sleep for 1.303232 seconds and try again... (tryings = 1, bot id = 8587251551)
2026-06-28 02:28:53,591 | INFO | aiogram.dispatcher | Connection established (tryings = 2, bot id = 8587251551)
2026-06-28 03:28:44,828 | ERROR | aiogram.dispatcher | Failed to fetch updates - TelegramNetworkError: HTTP Client says - ServerDisconnectedError: Server disconnected
2026-06-28 03:28:44,829 | WARNING | aiogram.dispatcher | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8587251551)
